序号,英文标题,中文标题,中文摘要
P08392,"Distribution, speciation and ecological risk assessment of heavy metals in Jinan Iron & Steel Group soils from China",中国济南钢铁集团土壤中重金属的分布、形态及生态风险评估,随着工业的快速发展，土壤环境中的重金属污染已引起全球严重关注。为了调查土壤的环境风险，本研究利用来自济南钢铁集团的16个表层土壤样品（0-20 cm）和12个分层土壤样品（0-120 cm）对重金属污染进行了综合研究。结果表明，浓度最高的重金属是Zn，其次是Cr、Pb、Cu、Ni、As、Hg和Cd。水平分布模式表明，土壤中的所有金属均来自炼焦/化学加工和制氧等人为活动。垂直分布结果显示，表层土壤中的这些金属显著积累。金属的污染水平受时间因素影响，从2018年12月到2019年4月有所下降。形态分析结果显示，Pb、Hg、Zn和Cu仍为残留态的主要成分，它们在土壤中的迁移潜力依次为Pb > Hg > Zn > Cu。利用内梅罗综合指数、地累积指数和潜在生态风险指标评估土壤污染水平的结果表明，研究区受到Pb（轻微）、Cd（中度）和Hg（强）的污染。本研究有助于识别污染土壤的优先控制组分，并为决策者制定合适的缓解策略提供有价值的见解。
P08427,Impacts of land use and salinization on soil inorganic and organic carbon in the middle-lower Yellow River Delta,土地利用和盐渍化对黄河三角洲中下游土壤无机碳和有机碳的影响,土壤无机碳（SIC）是干旱、半干旱和半湿润地区碳（C）的重要储库。然而，关于半湿润地区特别是受土壤盐渍化影响的沿海地带，不同土地利用类型下SIC的动态变化及其与土壤有机碳（SOC）关系的知识尚不完整。本研究在中国黄河三角洲（YRD）中下游采集了34个土壤剖面的170个样品，涵盖玉米-小麦、棉花、水稻和芦苇四种土地利用类型。测定了土壤pH、电导率（EC）、水溶性盐以及SOC和SIC含量。结果显示，不同土地利用类型间的SOC和SIC密度存在显著差异。在0-100 cm土层中，旱地（玉米-小麦和棉花）土壤的SOC和SIC密度（分别为4.71和15.46 kg C m−2）显著高于水稻土（3.28和14.09 kg C m−2）。与水稻土相比，芦苇地土壤具有显著更高的SOC（4.68 kg C m−2）和相似的SIC（15.02 kg C m−2）密度。在旱地土壤中，0-100 cm深度的SOC与SIC密度呈显著正相关，而在水稻土中呈负相关。平均而言，黄河三角洲中下游盐渍土壤中的玉米-小麦种植下的SOC和SIC密度分别比上游低15%和4%。本研究表明，土地利用类型对SOC和SIC及其关系有很大
P08440,"Heavy metals in soils around non-ferrous smelteries in China: Status, health risks and control measures",中国有色金属冶炼厂周边土壤中的重金属：现状、健康风险及控制措施,有色金属冶炼是造成严重土壤污染的主要原因。本文基于2000年至2019年间发表的同行评审论文数据，评估了中国各类有色金属冶炼厂周边土壤中重金属的污染状况及健康风险，并讨论了中国相关环境政策的发展。研究的有色金属冶炼场地主要位于大规模生产有色金属的省份。冶炼厂周边土壤中重金属的平均浓度（mg/kg）分别为：Cd 19.8，Cu 265，Pb 1536，Zn 1371，这些浓度大大超过了相应的背景值。高土壤污染的冶炼场地（基于金属浓度、地累积指数Igeo和污染指数PI）主要分布在中国的几个省份，包括广西、甘肃、湖南、湖北、重庆和辽宁。基于Igeo和PI，处理铜的冶炼厂附近的土壤污染最严重。有色金属冶炼厂周边土壤中Cd和Pb的累积将对居民构成潜在的高风险。一系列环境政策已被证明在降低中国有色金属污染物排放方面是成功的。研究结果表明，控制有色金属冶炼厂周边土壤污染的策略应主要集中在Cd和Pb上。
P08463,"Irrigation has a higher impact on soil bacterial abundance, diversity and composition than nitrogen fertilization",灌溉对土壤细菌丰度、多样性和组成的影响高于氮肥,
P08471,"Effect of chemical fertilizer and straw-derived organic amendments on continuous maize yield, soil carbon sequestration and soil quality in a Chinese Mollisol",化肥和秸秆源有机改良剂对中国黑土区连续玉米产量、土壤碳库及土壤质量的影响,施加有机改良剂（如玉米秸秆及其衍生的生物炭和堆肥）被认为是维持土壤生产力的有效策略。然而，关于这些改良剂对土壤碳固存、土壤质量和作物产量响应变化的信息仍然有限，特别是在富含有机质的土壤中。该田间试验于2011年秋季开始，旨在评估化肥配合玉米残茬衍生材料改良剂对连续玉米产量、土壤碳固存和土壤质量参数的影响。试验包含五个处理：CK（不施肥）、NPK（化肥）、NPK+ST（NPK加玉米秸秆）、NPK+CP（NPK加秸秆堆肥）和NPK+BR（NPK加秸秆生物炭）。有机材料按等碳输入量施用（每年3.2 Mg ha− 1）。于2017年采集0-10 cm和10-20 cm土层的土壤样品，分析土壤有机碳（SOC）、易氧化有机碳（ROC）、溶解性有机碳（DOC）、微生物生物量碳（MBC）、养分和团聚体粒径分布含量。与CK和NPK处理相比，NPK+BR和NPK+CP处理显著增加了表层土壤（0-20 cm）的SOC储量。不同处理相关的土壤碳固存量（相对于2011年SOC基线）如下：NPK+BR (13.1 Mg ha− 1 ) > NPK+CP (5.60 Mg ha− 1 ) > NPK+ST (2.9
P08512,"Spatiotemporal simulation, early warning, and policy recommendations of the soil heavy metal environmental capacity of the agricultural land in a typical industrial city in China",中国典型工业城市农田土壤重金属环境容量的时空模拟、预警及政策建议：以中山市为例,土壤环境容量和风险预警是土壤安全研究的核心内容。本研究选取地质统计分析、物质平衡线性模型和环境负荷容量法，模拟中山市北部农用地8种重金属（汞、砷、铬、铜、镍、铅、锌和镉）的环境容量。然后，以2015年的容量数据为基准年进行风险早期预警评估，并据此提出了“土壤安全”目标下的土壤重金属污染管理策略。结果显示，2015年至2035年间，研究区采集的土壤样品中重金属的年平均容量增加了1.73倍。总体而言，除汞外，重金属环境容量呈上升趋势，低容量区主要分布在北部平原。基于土壤重金属环境容量，综合风险等级为中等的。此外，汞、砷、铬、铅的平均环境容量指数均大于1，对应无风险。然而，镍和锌的指数分别为0.8和0.7，对应轻度风险，而铜和镉的指数均小于0，对应极高风险。此外，政府在制定针对工业城市农用地重金属污染的控制措施时，有必要考虑主要污染源。本研究结果为工业城市农用地重金属环境容量风险预警提供了理论贡献，并为加快制定农用地污染管理政策提供了实践参考。
P08556,Soil mercury pollution caused by typical anthropogenic sources in China: Evidence from stable mercury isotope measurement and receptor model analysis,中国典型人为源造成的土壤汞污染：稳定汞同位素测量与受体模型分析的证据,人为活动在全球工业区造成了严重的土壤汞污染。减轻土壤汞污染需要了解各种环境介质中汞的来源和迁移途径。本研究选取了中国含有典型人为汞排放的四个区域来评估土壤汞污染。结果显示，汞矿区、金矿区和锌冶炼区的土壤汞含量显著升高，而燃煤电厂区域仅略有升高，这四个区域的平均值分别为 44.0、1.17、0.73 和 0.14 mg/g（干重）。据估计，这些人为源对周边地区土壤汞的平均百分比贡献分别为：汞矿开采 92.2 ± 9.70%（其中 77.6 ± 12.0% 来自未焙烧的汞矿石，14.6 ± 7.50% 来自汞焙砂），锌冶炼 63.5 ± 0.83%，金矿开采 41.6 ± 1.90%，燃煤电厂 21.1 ± 3.58%。大气沉降被认为是土壤汞污染的主要途径，但汞矿区包含显著的径流累积。排放气体中汞的形态和浓度是周边土壤汞污染的关键因素，因为 Hg2+/Hgp 在大气中的停留时间很短。本研究的结果可为中国及其他具有类似工业地区的汞风险评估和土壤修复提供科学建议。
P08565,"Desiccation cracking of soils: A review of investigation approaches, underlying mechanisms, and influencing factors",土壤干缩裂隙：调查方法、潜在机理及影响因素综述,本文旨在综述干缩裂隙表征方法的发展及最新进展，并回顾土壤的干缩裂隙行为。综述首先在第1节简要介绍了干缩裂隙对土壤性质的影响以及研究该主题的意义。第2节总结了过去和现有的实验方法，这些方法被发明并用于实验室和现场尺度的土壤干缩裂隙研究。第3节介绍了为解释潜在裂隙机理而制定的各种理论框架。第4节展示了理论框架在基于网格和无网格数值工具中的实现，以捕捉干缩裂隙的萌生、扩展和合并。第5节描述了干燥土壤中的裂隙动力学，重点介绍了水分蒸发、吸力增加和体积收缩的耦合过程以及裂隙网络的演化。第6节讨论了土壤干缩裂隙的主要影响因素，涵盖土壤固有性质、边界约束、环境条件和土壤混合料。最后，在第7节中提出了简要的总结和未来的研究工作展望。
P08577,Large-scale importance of microbial carbon use efficiency and necromass to soil organic carbon,微生物碳利用效率和残体对土壤有机碳的大尺度重要性,将土壤微生物碳循环机制纳入地球系统模型（ESM）的最佳方法仍在争论中。具体而言，土壤微生物生理参数和残留物对土壤有机碳（SOC）含量是否重要尚不清楚。在此，我们基于对中国东部约4000公里森林样带上16个地点土壤的调查，探讨了生物和非生物因素对SOC含量的影响，该样带跨越了广泛的气候、土壤条件和微生物群落。我们发现SOC与土壤微生物量碳（MBC）和氨基糖（AS）浓度（微生物残体的指标）高度相关。微生物碳利用效率（CUE）与该国家尺度样带上的SOC变化显著相关。此外，气候和土壤因素对SOC的影响主要通过其对微生物生理特性（CUE和MBC）的调节来实现。我们还发现，包含微生物生理参数和AS的回归模型对SOC变化的解释效果优于不含它们的模型。我们的结果提供了大尺度上气候、微生物特征和SOC含量之间的经验联系，并证实了在全球变化情景下将微生物生物量和残体库纳入ESMs的必要性。
P08579,"Source analysis of heavy metal pollution in agricultural soil irrigated with sewage in Wuqing, Tianjin",天津武清污灌区农业土壤重金属污染源解析,本研究测定了中国天津武清区污灌农田农业土壤及潜在源样品的重金属含量及镉(Cd)和铅(Pb)的同位素比值。采用了多种方法进行源解析，包括正定矩阵因子分析(PMF)、相关性分析、主成分分析(PCA)以及Cd和Pb同位素比值法。结果表明，研究区农业土壤受到重金属轻微污染，其中Cd和Pb的累积水平相对较高。通过PMF结合PCA和相关性分析结果，识别并量化了四种污染源：土壤母质源、工业排放源、农业实践源以及污水灌溉和交通的混合源。Cd和Pb同位素比值法量化的贡献率相似，表明没有单一源头主导Pb和Cd污染。同位素比值法分析的Pb贡献率与PMF模型的结果几乎完全一致，表明PMF结果的合理性。我们的研究结果表明，相关性分析和PCA应被用于为PMF获取合理结果和定义源类别提供信息，而同位素比值法应被用于验证PMF分析的源贡献的准确性。
P08580,Effects of magnetic biochar-microbe composite on Cd remediation and microbial responses in paddy soil,磁性生物炭-微生物复合材料对稻田土壤镉修复及微生物响应的影响,利用生物炭和微生物联合修复镉污染土壤受到全球越来越多的关注。然而，生物炭、外源微生物和土著微生物之间的相互作用尚不清楚。因此，本研究进行了一项为期90天的微宇宙实验，通过将接种枯草芽孢杆菌K1菌株的水稻秸秆生物炭（SBB）和磁性秸秆生物炭（MBB）加入到中国湖南的Cd污染稻田土壤中来研究这一问题。所有处理在有氧（60%持水量）或厌氧条件下培养90天。在两次土壤培养过程中，施用复合材料的土壤中均成功定殖了枯草芽孢杆菌K1。土壤pH值显著从酸性增加到中性，有效态Cd随两种复合材料的添加而降低。MBB在厌氧条件下的修复效率优于SBB，归因于Cd2+与晶体Fe3O4结合，将乙酸提取态Cd转化为残渣态。两种复合材料的应用对微生物群落产生了相似的变化。在有氧条件下施用MBB，土著微生物的α多样性略有下降，而细菌总数增加了700%。冗余分析和Mantel分析表明，pH值和微生物生物量碳分别促进了有氧条件下SBB和厌氧条件下MBB对枯草芽孢杆菌K1的定殖。该研究为相互作用效应提供了新的见解，并探讨了细菌/生物炭复合材料在有氧和厌氧土壤中的固定机制。
P08581,Effects of long-term afforestation and natural grassland recovery on soil properties and quality in Loess Plateau (China),长期造林和天然草地恢复对黄土高原土壤性质和质量的影响,在半干旱地区，长期造林对土壤性质和质量有重要影响。过去20年中，黄土高原开展了一项大规模的造林工程。本研究旨在探讨造林（刺槐、柠条和天然草地在恢复10年、20年、30年和40年后）对土壤性质和质量的影响。结果表明，在刺槐和柠条处理中，覆盖度和根系生物量（RB）在恢复30年后达到最高，而在天然草地中则在40年后达到最高。在所有研究区域，砂含量和容重（BD）在造林后10年达到最高值。刺槐和柠条的粘粒、粉粒、平均重量直径（MWD）和几何平均直径（GMD）在造林30年后达到最高值，而在天然草地中，这一现象出现在40年后。在刺槐和柠条处理中，在20-40厘米和40-60厘米土层，土壤含水量（SMC）在造林30年后达到最高水平。而在天然草地中，SMC在造林后40年达到最高值。随土壤深度增加，砂含量和BD增加，而RB、粘粒、粉粒、MWD、GMD和SMC则相反。在刺槐和柠条处理中，0-20厘米土层的土壤有机质、全氮、碱解氮、全磷和有效磷在恢复40年后含量最高，而在20-40厘米和40-60厘米土层，则在30年后最高。在所有处理中，土壤质量指数（SQI）在恢复40年后最高。天然草地的SQI值始终高于刺槐
P08586,An integrated method for source apportionment of heavy metal(loid)s in agricultural soils and model uncertainty analysis,农业土壤重金属源解析的综合方法与模型不确定性分析,农业土壤中重金属浓度的升高对生态安全和农产品质量构成威胁，而准确解析其来源仍是一项具有挑战性的任务。研究结合了多元统计分析、GIS制图、铅同位素比率分析（IRA）和正定矩阵因子分析（PMF）来解析喀斯特地区果园土壤中重金属的潜在来源。研究区域土壤受到Cd的中度污染。表层土壤中Cd显示出明显的富集和中度污染水平，其次是As、Zn和Pb。相关性分析（CA）和主成分分析（PCA）表明，Ba、Co、Cr、Ni、V主要来自自然源，而As、Cd、Cu、Pb、Zn则来源于两类人为源。基于Pb同位素组成，大气沉降和畜禽粪便是土壤Pb积累的主要来源。进一步的源识别和量化结果显示，土壤母质（46.44%）对土壤重金属的贡献最大，其次是肥料施用（31.37%）和混合源（工业活动和粪便，22.19%）。不确定性分析表明，PMF模型的三因子解是最优解释，且贡献百分比较低的重金属具有更高的不确定性。本研究结果有助于更准确地说明果园农业土壤中重金属的来源，并具有明确的应用前景。
P08588,Assessment of soil fertility degradation affected by mining disturbance and land use in a coalfield via machine learning,基于机器学习的矿区受采矿干扰和土地利用影响的土壤肥力退化评估,矿区土壤肥力的退化对农业生产和生态环境构成巨大风险，并日益成为全球关注的问题。在本研究中，对中国黄土高原某煤田在不同土地利用类型和采矿干扰下的土壤肥力指标时空变化及土壤肥力退化特征进行了评估，采矿活动引起的土壤肥力退化已成为该地区严重的环境问题。于2017年和2019年从相同的50个采样点两次采集土壤样品（深度：0-20厘米）。采样点覆盖了三种土地利用类型（农田、灌木地和草地）和三个采矿干扰年份（2011年、2013年和2016年）。对每个样品的土壤有机质（SOM）、全氮（TN）、土壤有效磷、土壤有效钾和表层土壤中的细土颗粒进行了测量。利用克里金插值分析了土壤性质和肥力退化的空间分布，并通过基于密度的噪声应用空间聚类（DBSCAN）分析了肥力退化的程度，并使用SoftMax和随机森林算法进行了验证。研究结果表明，根据DBSCAN结果和土壤肥力指标的变化，土壤肥力退化的强度可分为三个聚类（即严重退化、中度退化和轻微退化）。使用随机森林和SoftMax进行验证表明，聚类的准确率超过95%。土地利用类型和煤炭开采年份显著影响退化程度，全氮和土壤有机质对土壤肥力退化的分类影响最为显著。
P08589,Regional suitability prediction of soil salinization based on remote-sensing derivatives and optimal spectral index,基于遥感衍生产品和最优光谱指数的区域土壤盐渍化适宜性预测,土壤盐渍化是阻碍干旱半干旱地区农业可持续发展和粮食安全的极其严重的土地退化问题。利用遥感技术获取和研究土壤盐度信息，为快速准确地评估和解决这一问题提供了方案。本研究旨在比较 Landsat-8 OLI 和 Sentinel-2A MSI 在遥感预测中的能力，并探索衍生产品在盐渍化土壤遥感预测中的潜在应用。研究探讨了衍生产品在 Landsat-8 OLI 和 Sentinel-2A MSI 多光谱数据中的应用能力，并将其作为数据源以及解决盐分预测区域适应性的手段。利用二维和三维最优光谱指数筛选对土壤盐分（0-10 cm）最敏感的波段，并将遥感数据和地形因子与机器学习相结合，基于灰色关联分析构建综合土壤盐分估算模型。结果表明：(1) 最优光谱指数（2D、3D）能有效考虑波段间相互作用的可能组合，并响应土壤性质的敏感波段，以规避光谱指数在不同区域的适用性问题；(2) 经过一阶导数技术处理后，Landsat-8 OLI 和 Sentinel-2A MSI 多光谱遥感数据源的模型预测精度均有提高；(3) 在一阶导数下，Sentinel 数据的预测模型性能/精度最佳。本研究比较了 Landsat-
P08599,Integrating hyperspectral imaging with machine learning techniques for the high-resolution mapping of soil nitrogen fractions in soil profiles,整合高光谱成像与机器学习技术用于土壤剖面中氮素组分的高分辨率制图,"土壤氮（N）在土壤质量和生物地球化学循环中起着核心作用。然而，关于不同土壤氮组分在整个土壤剖面中的分布和空间变异性知之甚少。本研究旨在探讨实验室高光谱成像（HSI）光谱技术用于高分辨率提取和绘制土壤剖面中全氮（TN）、有效氮（AvailN）、铵态氮（NH4-N）、硝态氮（NO3-N）和微生物量氮（MBN）的潜力。研究记录了来自三种典型土壤类型的十一个深度为100±5厘米的原状土壤剖面的HSI图像。将人工神经网络（ANN）、Cubist回归树、K近邻（KNN）、支持向量机回归（SVMR）和极限梯度提升（XGBoost）等多种非线性机器学习技术与偏最小二乘回归（PLSR）进行比较，以确定预测各种土壤氮组分的最合适模型。总体而言，结果表明在大多数情况下，非线性技术的表现优于PLSR，具有较高的决定系数（R2）和较低的均方根误差（RMSE）。在模型中，基于独立验证发现SVMR在预测TN（RP2 = 0.94, RMSEP = 0.17 g kg-1）、AvailN（R2P = 0.94, RMSEP = 13.35 mg kg-1）、NO3-N（R2P = 0.82, RMSEP = 7.31"
P08600,Integrating hyperspectral imaging with machine learning techniques for the high-resolution mapping of soil nitrogen fractions in soil profiles,整合高光谱成像与机器学习技术用于土壤剖面中氮素组分的高分辨率制图,土壤氮（N）在土壤质量和生物地球化学循环中起着核心作用。然而，关于整个土壤剖面中不同土壤氮组分的分布和空间变异性知之甚少。本研究旨在探讨实验室高光谱成像（HSI）光谱技术用于高分辨率反演和制图全剖面土壤总氮（TN）、有效氮（AvailN）、铵态氮（NH4-N）、硝态氮（NO3-N）和微生物量氮（MBN）的潜力。研究记录了来自三种典型土壤类型的11个100±5 cm深度的完整土壤剖面的HSI图像。将人工神经网络（ANN）、Cubist回归树、K近邻（KNN）、支持向量机回归（SVMR）和极限梯度提升（XGBoost）等多种非线性机器学习技术与偏最小二乘回归（PLSR）进行了比较，以确定预测各种土壤氮组分的最佳模型。总体而言，结果显示在大多数情况下非线性技术优于PLSR，具有更高的决定系数（R2）和更低的均方根误差（RMSE）。在模型中，基于独立验证发现SVMR在预测TN、AvailN、NO3-N和NH4-N方面优于其他测试模型，而MBN的最佳预测模型是KNN。此外，SVMR需要的计算时间较少，且对光谱噪声不敏感。因此可以得出结论，HSI光谱技术结合SVMR适用于土壤剖面中各种土壤氮组分的
P08613,A meta-analysis of heavy metals pollution in farmland and urban soils in China over the past 20 years,过去20年中国农田和城市土壤重金属污染的Meta分析,汇总了2000年至2019年间发表的关于中国农田和城市土壤重金属现场监测实验的713篇研究论文。进行了一项Meta分析，旨在评估中国土壤重金属污染水平，主要关注八种重金属。结果表明，中国镉、铅、锌、铜、汞、铬、镍和砷的平均浓度分别为0.19、30.74、85.86、25.81、0.074、67.37、27.77和8.89 mg/kg。与背景值（0.097 mg/kg）相比，农田土壤中的Cd含量增加了一倍（0.19 mg/kg），城市土壤中增加了三倍（0.29 mg/kg）。平均Igeo的递减顺序为Cd (1.77) > Pb (0.62) > Zn (0.60) > Cu (0.58) > Hg (0.57) > Cr (0.54) > Ni (0.47) > As (0.28)。分别有33.54%和44.65%的农田和城市土壤采样点受到Cd污染。过去二十年中，农田和城市土壤中八种重金属的平均浓度没有显著变化。城市土壤（2.52）和农田土壤（2.15）的平均Pn值表明，城市土壤的重金属污染比农田更严重，且工业活动占主导地位的中长江流域地区污染最为严重。该Meta分析全面评估了土壤重金属
P08614,A meta-analysis of heavy metals pollution in farmland and urban soils in China over the past 20 years,近20年中国农田和城市土壤重金属污染的Meta分析,汇总了2000年至2019年间发表的关于中国农田和城市土壤重金属现场监测实验的713篇研究论文。进行了一项Meta分析，以评估中国土壤重金属污染的水平，主要关注八种重金属。结果发现，中国镉、铅、锌、铜、汞、铬、镍和砷的平均浓度分别为0.19、30.74、85.86、25.81、0.074、67.37、27.77和8.89 mg/kg。与背景值（0.097 mg/kg）相比，农田土壤中的Cd含量增加了两倍（0.19 mg/kg），城市土壤中的增加了三倍（0.29 mg/kg）。平均Igeo的递减顺序为Cd (1.77) > Pb (0.62) > Zn (0.60) > Cu (0.58) > Hg (0.57) > Cr (0.54) > Ni (0.47) > As (0.28)。分别有33.54%和44.65%的农田和城市土壤点位受到Cd污染。过去二十年中，农田和城市土壤中八种重金属的平均浓度没有显著变化。城市（2.52）和农田（2.15）土壤的平均Pn值表明，城市土壤的重金属污染比农田更严重，以工业活动为主导的中长江地区污染最为严重。这项Meta分析全面评估了土壤重金属的当前污染
P08620,Improvements in soil quality with vegetation succession in subtropical China karst,亚热带中国喀斯特地区植被演替过程中的土壤质量改善,次生植被演替可以改变土壤功能和质量。然而，关于中国西南喀斯特地区不同植被演替阶段土壤质量变化的数据有限。本研究旨在评估不同植被演替对土壤质量的影响，并进一步识别影响土壤质量的因素。选择并采样了中国亚热带喀斯特地区的次生林、灌木、草地和农田（作为对照）。通过全数据集（TDS）和最小数据集（MDS）两种方法建立了土壤质量指数（SQI）。基于主成分分析（PCA），土壤有机碳、粉粒、有效磷、有效钾、土层厚度和土壤含水量被确定为MDS最具代表性的指标。两种方法都显示次生林的SQI值最高，其次是灌木和草地，农田的值最低。这表明植被演替显著影响了土壤理化性质，进而影响了土壤质量。MDS可以充分代表TDS来量化植被演替对土壤质量的影响，因为两种方法得出了相似的SQI结果（R2 = 0.68，P < 0.01）。使用广义线性模型，影响因素解释了SQI总变异的约75%。植被类型占SQI变异的比例最大，其次是恢复时间，表明这些因素在植被演替期间显著影响土壤质量。总的来说，植被演替显著影响了土壤性质，并且在植被恢复期间对土壤质量具有长期和积极的影响。这项研究有助于理解植被演替过程中土壤质量的变化，并为中国亚热
P08622,"Soil Health Evaluation of Farmland Based on Functional Soil Management—A Case Study of Yixing City, Jiangsu Province, China",基于功能性土壤管理的农田土壤健康评价——以中国江苏省宜兴市为例,鉴于农田是确保国家粮食安全的战略资源，盲目强调提高粮食生产能力可能导致土壤过度利用并损害其他土壤功能。因此，土壤健康（SH）的评价应综合考虑土壤生产力和生态环境效应。本研究从功能性土壤管理的角度总结了五大功能，包括初级生产力、养分供给与循环、功能性和内在生物多样性的供给、水分净化与调节以及碳固存与调节。针对每个土壤功能，考虑到影响SH的自然和可改良条件，从内在和动态特性两个方面选择了基本指标，并考虑外部特性或环境因素选择了限制性指标，采用最小限制因子法与加权线性模型相结合的方法。新的评价体系在中国宜兴市进行了测试和验证。健康且功能最佳的土壤集中在宜兴市的东北部和中部，而土壤不健康主要分布在南部和太湖周边。SH改善的主要限制因素包括阳离子交换量、营养元素和可溶性碳。利用作物表现验证方法对SH评价方法进行了验证，结果发现粮食生产稳定性指数与土壤健康指数呈正相关，表明该评价体系是合理的。
P08623,Cultivated Land Use Zoning Based on Soil Function Evaluation from the Perspective of Black Soil Protection,基于黑土保护视角的土壤功能评价与耕地利用分区,鉴于耕地是确保国家粮食安全的战略资源，盲目强调提高粮食生产能力可能导致土壤过度利用并损害其他土壤功能。因此，本文以黑龙江省为例，在省级尺度上进行了土壤多功能评价。结合土壤、气候、地形、土地利用和遥感数据，评估了2018年耕地初级生产力、养分供给与循环、功能性与内在生物多样性供给、水源净化与调节以及碳固持与调节功能。我们设计了土壤功能判别矩阵，构建了供需比率，并评估了土壤功能的供需现状。土壤功能呈现出东北高、西南低的分布格局，且大多处于二级区域。71.32%区域初级生产力的实际供给无法满足当前人口需求。34.89%区域的主导土壤功能为水源净化与调节，且大多数耕地属于功能平衡区。本文结果为大尺度土地格局优化和耕地利用管理改善提供了理论基础，对黑土资源的可持续利用和综合效益提高具有重要意义。
P08624,"Heavy metal contamination in soils from freshwater wetlands to salt marshes in the Yellow River Estuary, China",黄河口从淡水湿地到盐沼的土壤重金属污染,本研究测定了淡水湿地、半咸水湿地和盐沼土壤中砷(As)、镉(Cd)、铬(Cr)、铜(Cu)、锰(Mn)、铅(Pb)、锌(Zn)和铁(Fe)的浓度和分布，以评估土壤污染状况。季节性采集了深度达50 cm的土壤岩心，并设置了三个重复。研究显示，五个湿地表层50 cm土壤中的Cd平均浓度高于相应的背景值。然而，表层土壤(0-10 cm)中的As、Mn、Zn、Cu和 Fe值超过了背景值。除S3点外，表层土壤中的重金属浓度通常高于深层土壤。在水平方向上，在0–40 cm土壤中，八种重金属总体呈现先降低后增加的趋势，最低值和最高值分别出现在S4和S5点。研究区域表层20 cm土壤中观测到三个重金属富集热点。沉积物质量指南表明，As和Cu可能会产生偶尔的不利影响。此外，根据富集因子和地累积指数，Cd在这些湿地中显示出无污染至中度污染水平。潜在生态风险指数表明五个湿地土壤中的污染程度为中等。主成分分析和Pearson相关分析表明，八种重金属主要来源于自然源，而有机质(SOM)和土壤质地是影响这些湿地重金属积累和分布的主要因素。
P08631,"Cadmium accumulation in wheat and maize grains from China: Interaction of soil properties, novel enrichment models and soil thresholds",中国小麦和玉米籽粒中的镉积累：土壤性质、新型富集模型及土壤阈值的关系,土壤中的镉活性已被广泛研究。然而，土壤性质（如pH、CEC和SOM）对镉从土壤向籽粒转移的交互影响通常被忽视。本研究共使用了325个包含土壤pH、CEC、SOM和土壤Cd含量的数据集。描述性统计表明，小麦和玉米土壤中的镉含量范围分别为0.05-10.31 mg/kg和0.02-13.68 mg/kg，平均值分别为0.87和1.14 mg/kg。小麦和玉米籽粒中的镉含量分别为0.01-1.36 mg/kg和0.001-1.08 mg/kg，平均值分别为0.15和0.10 mg/kg。SEM结果表明，土壤性质的交互效应对镉从小麦土壤向籽粒转移的贡献比土壤Cd含量更大。随后，CITs-MLR表明，关键因素（包括土壤pH和总土壤Cd含量）可能会掩盖其他土壤性质对籽粒Cd积累的贡献；土壤CEC可能会防止Cd淋溶，从而提高酸性土壤条件下小麦籽粒的Cd水平。推导出的Cd阈值结果表明，当前的Cd阈值并不完全适用于不同土壤条件下的小麦和玉米籽粒。这项研究为进一步研究土壤性质、土壤Cd含量和籽粒Cd水平之间的关系提供了新模型。
P08633,A novel remediation method of cadmium (Cd) contaminated soil: Dynamic equilibrium of Cd2+ rapid release from soil to water and selective adsorption by PP-g-AA fibers-ball at low concentration,一种镉污染土壤的新型修复方法：低浓度下Cd2+从土壤快速释放到水的动态平衡及PP-g-AA纤维球的选择性吸附,土壤中的酸提取态Cd(II)易在生物体内积累，在生态环境中迁移转化，对人体构成潜在健康风险。本研究发现，土壤中的酸提取态Cd(II)在极低Cd2+浓度下可迅速释放到水中。在Cd(II)污染的土壤-水系统中，使用了具有高选择性的羧基化聚丙烯（PP-g-AA）纤维球作为吸附剂。即使在存在干扰金属离子的情况下，它也能迅速去除水中的微量Cd2+。此外，从土壤解吸到水中的Cd(II)可以被PP-g-AA纤维球持续吸附，从而使Cd2+浓度始终保持在低水平。这形成了土壤-水系统中酸提取态Cd(II)快速释放-选择性吸附的动态平衡。本文建立了酸提取态Cd(II)从污染土壤释放到水中并同时吸附在PP-g-AA纤维球表面的迁移路径。这项工作提供了一种新方案，可在12小时内去除污染土壤中90%以上的酸提取态Cd(II)，从而更有助于在不改变土壤理化性质的情况下减轻Cd(II)从土壤向食物链迁移的风险。
P08642,"Pollution Assessment and Source Apportionment of Soil Heavy Metals in a Coastal Industrial City, Zhejiang, Southeastern China",中国东南部浙江省某沿海工业城市土壤重金属污染评价与源解析,"本研究选取中国东南部典型的工业城市宁波市为研究区，测定了248个采样点的12种重金属（Cd, Cr, Ni, Pb, Zn, Cu, Hg, As, Co, V, Se和Mn）的浓度。采用污染指数法评估土壤重金属污染状况，并联合使用正定矩阵因子分解（PMF）模型和Unmix模型来识别和解析重金属污染的来源。结果表明，研究区近70%的区域受到重金属污染，Ni、Cr和Zn是主要的富集重金属。PMF模型识别出的五个来源为地质来源、大气沉降来源、交通排放来源、农业与工业混合来源以及地质与工业混合来源。Unmix模型识别出的四个来源分别为地质、农业与工业混合来源（14.27%）、交通排放来源（4.76%）、地质来源（14.7%）和地质与工业混合来源（66.28%）。"
